Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,5102023_All_QC_003,5102023_All_QC_040,5102023_BLD_1_022,5102023_BLD_2_023,5102023_BLD_QC_021,5102023_GER_1_032,5102023_GER_2_033,5102023_GER_3_034,5102023_GER_4_035,5102023_GER_5_036,5102023_GER_6_037,5102023_GER_QC_031,5102023_IPA_1_012,5102023_IPA_2_013,5102023_IPA_QC_011,5102023_SOU_1_017,5102023_SOU_2_018,5102023_SOU_QC_016,5102023_STU_1_007,5102023_STU_2_008,5102023_STU_QC_006,5102023_WHE_1_027,5102023_WHE_2_028,5102023_WHE_QC_026,582023_All_QC_003,582023_BLD_1_022,582023_BLD_2_023,582023_BLD_QC_021,582023_GER_1_032,582023_GER_2_033,582023_GER_3_034,582023_GER_4_035,582023_GER_5_036,582023_GER_6_037,582023_GER_QC_031,582023_IPA_1_012,582023_IPA_2_013,582023_IPA_QC_011,582023_SOU_1_017,582023_SOU_2_018,582023_SOU_QC_016,582023_STU_1_007,582023_STU_2_008,582023_STU_QC_006,582023_WHE_1_027,582023_WHE_2_028,582023_WHE_QC_026,592023_All_QC_003,592023_All_QC_040,592023_BLD_1_022,592023_BLD_2_023,592023_BLD_QC_021,592023_GER_1_032,592023_GER_2_033,592023_GER_3_034,592023_GER_4_035,592023_GER_5_036,592023_GER_6_037,592023_GER_QC_031,592023_IPA_1_012,592023_IPA_2_013,592023_IPA_QC_011,592023_SOU_1_017,592023_SOU_2_018,592023_SOU_QC_016,592023_STU_1_007,592023_STU_2_008,592023_STU_QC_006,592023_WHE_1_027,592023_WHE_2_028,592023_WHE_QC_026,1,2,3,4,5,6,7,1,2,3,4,5,6,7
10,5.679,68.9949,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,10,0,0,null,null,null,null,null,null,null,17789.88,592023_GER_6_037,68.99490:29536 69.02256:463 69.03532:460 71.01334:708,61.98780:6616,1019681,402154,914931,1070083,453246,280995,834948,807917,3990376,273345,542174,702418,1038992,970896,1149687,946205,910068,916330,927005,330588,514398,918747,912502,922227,1800262,858807,918817,850840,760910,720384,732936,708496,735267,725730,816376,995707,996238,943649,886628,878704,879417,748968,727519,424499,834862,829798,866031,1348725,1039103,1199035,1200861,1161501,1083943,1062723,1052263,1045258,1194716,3542466,1120039,2069037,1435994,1396936,1170064,1187135,1164557,1301776,1365685,1444761,1296899,1220888,1226990,1121984.855,958680.1522,1082556.164,1221904.043,993234.2644,865022.1826,1003216.136,511606.1131,237312.9494,927615.4142,366622.8265,137248.2524,420765.6896,188037.787
11,1.521,68.99496,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,11,0,0,null,null,null,null,null,null,null,10244.31,592023_WHE_2_028,68.99496:17477 69.02285:349 71.01388:247,61.98757:1804,1239112,1504548,1082882,333039,339383,759701,588705,1938755,735826,619670,1041078,1070663,988679,1683371,1729261,948805,772202,653480,1183196,681022,957443,631388,640731,652365,492577,347769,801277,850381,683872,113905,292489,511557,759632,495049,339435,569838,586407,521868,296489,191693,287019,303829,506599,574601,528309,534325,573766,609355,466808,938668,551935,573526,536627,494572,931448,525410,479623,755574,521344,519693,471271,488945,538237,532083,548946,545070,556445,560089,489865,1480681,513175,862480.0199,646539.8562,675949.3227,839925.7832,529883.925,652032.6502,671622.761,477378.1388,282267.7992,371295.2725,515323.5995,244375.9108,263076.4197,309157.4901
12,1.724,68.99497,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,12,0,0,null,null,null,null,null,null,null,10547.25,592023_STU_1_007,68.99497:16101 69.03301:428 71.01298:338,61.98800:1475,866836,1504548,639757,997707,1016532,222510,616189,648679,632437,1747442,613915,638470,219060,608894,641497,672172,224408,1818933,692992,695044,672378,1747190,1849792,1117748,510871,912009,229705,344359,683872,73964,279073,510372,287504,281854,334190,331696,586675,521175,723279,127252,170350,105457,295728,331256,528741,523075,318483,1079388,851666,946133,1867699,1726944,945339,1467916,946808,921817,877534,538441,907486,962797,845490,907712,945860,952190,987780,1528379,983672,1002969,888245,535444,916860,962661.7072,964538.3548,675038.7065,624999.5007,735802.7961,700874.9469,936175.186,364994.4303,551582.9972,405109.5653,251555.9329,534253.1398,434768.8891,548505.1249
13,5.882,68.99506,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,13,0,0,null,null,null,null,null,null,null,17247.25,592023_BLD_1_022,68.99506:34276 69.02296:462 69.04264:376 69.05251:265 69.99885:439 71.01358:512,61.98756:9918,1778957,817215,930067,1561124,769984,571081,282841,819807,867145,3047100,2448470,869868,1062561,1022595,328146,4418075,956481,942696,475431,685890,868897,947719,1619632,953036,1483501,907870,978786,901275,813916,754013,788716,752654,777768,765710,847264,346677,1044310,977078,945096,938093,931012,961816,759279,566484,887785,892411,907318,1442177,1075338,5623616,2205645,2058235,3853209,1093414,1074791,1794047,1218593,356594,1157524,2102777,411116,1448950,1226425,1243118,1234876,2394115,1435962,1507293,1597257,1302830,1292623,1319437.68,1770733.531,1188310.691,971578.8014,1426208.174,1072796.235,1155623.461,375816.3374,1540954.862,891911.2351,574708.5882,1130856.086,610495.668,303669.6401
14,6.085,68.99506,Unknown,[M-H]-,null,0.17,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,14,0,0,null,null,null,null,null,null,null,21069.75,592023_STU_2_008,68.99482:40329 69.02243:651 69.05491:173 69.99798:574 71.01375:546,61.98765:12456,1788618,1354567,5434896,1073639,1583992,3156280,1137947,838182,845741,807428,810254,3613795,1091268,1076703,1168095,945066,5324444,965178,807289,1069954,1422092,1654401,1627585,1635723,375223,949801,1680171,951535,863736,783806,833823,798472,5128977,809408,877618,702615,1088775,1748213,995446,998058,979371,4277677,4273583,432064,936419,1598568,951134,2539926,6735720,1242508,2213048,2059112,384629,6986816,6778880,1780784,528143,1044580,7612166,1248688,620757,9444766,6854889,2180996,6908398,2411428,8785056,2560507,1400811,7813287,2270194,2558810.883,1909855.75,2210545.964,2021097.555,2905760.796,2893294.306,2209791.295,2462639.821,1400167.347,2369114.796,2802556.743,2659930.105,2616667.646,2139320.291
15,6.186,68.99506,Unknown,[M-H]-,null,0.1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,15,0,0,null,null,null,null,null,null,null,25147.09,592023_STU_QC_006,68.99482:42863 69.02237:738 69.03353:255 69.04701:286 69.99691:444 71.01293:963,61.98741:12051,1056676,3240162,1541039,892908,3601390,1430264,2970572,1394691,830122,794963,797176,1470768,1843347,1808688,2292917,921476,1633291,1607974,1621836,1873424,1592089,6535255,946530,5245754,374582,968113,5816379,975244,1471525,1355218,1410483,1376918,1384101,1406126,897071,885012,1110665,5734546,1672320,1026673,1001345,1751006,1291497,581561,1587955,4538599,1641682,9282671,1785649,1216489,1262539,1192294,579513,1816418,1791290,1030801,1031054,2148820,1925502,1229526,1635636,2426423,2096668,8513016,2116982,1392091,2450823,9212006,1387920,2255491,7950477,3147948.288,1940710.608,1395876.056,2107417.99,2287749.469,2418481.541,3565518.019,3590409.78,1675518.474,542979.4634,1454831.184,2376989.625,2595935.595,2567741.849
16,1.825,68.9951,Unknown,[M-H]-,null,0.13,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,16,0,0,null,null,null,null,null,null,null,10450.85,592023_All_QC_003,68.99510:18956 69.02204:349 71.01301:1618,61.98725:1727,719635,668776,624610,997707,1540263,651085,1041442,639506,825730,1072657,600832,627054,328858,584151,622167,863223,665032,1112401,663117,989327,858677,1095770,1089759,1692969,864771,590589,170305,283899,280073,74600,272120,245537,275910,232024,483256,274746,336253,304314,448171,375522,113137,363215,191023,322278,254648,285344,258827,1706942,1348318,540492,996934,993838,1596442,869384,544443,1530104,1400642,829250,1621740,1531747,1308633,1418154,1482653,1592908,1627224,971144,1551298,1486190,1400188,506836,1440781,1061688.325,748737.5129,748277.6988,745447.0818,920030.2103,821807.794,891680.1314,449629.3882,424943.8946,476928.5543,522773.944,564015.261,488389.3756,570647.1918
17,0.608,83.01288,Unknown,[M-H]-,null,0.03,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,0,0,null,null,null,null,null,null,null,7444.69,5102023_SOU_2_018,83.01288:29982 83.04419:1119 83.05682:296 83.06279:301 84.01602:1397 85.02781:1389,87.00843:6741,73745,56285,4245,3450,12572,10673,8951,7085,22650,4314,20930,10261,4903,17249,18526,5455,224631,157689,45383,7943,11957,6061,7804,8349,21717,8690,0,1631,1283,3255,2835,7816,4704,4814,3858,5203,9024,7876,4180,130117,71608,13988,3584,2307,3702,6073,0,34240,36668,2087,3097,4631,4442,2324,0,1655,2519,4990,0,4844,7065,6140,4247,171506,109349,10391,4885,7049,5032,541,2830,44530.94324,4489.251058,6159.939713,8981.121814,97642.48865,11943.12235,4487.814311,20492.68401,3875.613031,6012.641221,5249.644911,81404.40133,13121.27256,2963.769928
18,0.71,85.02828,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,18,0,0,null,null,null,null,null,null,null,5573.69,5102023_SOU_QC_016,85.02828:12114 85.05913:270 86.03307:747 87.00758:25950 87.04181:1180 87.05939:247,71.01308:1567 87.00797:2208 89.02370:38182 89.05553:573 90.02679:1327,355125,245714,227438,148998,214550,252933,236753,253892,189010,221069,106428,218247,208994,313387,481987,202986,183756,200597,190743,166897,397639,269506,218947,229572,87490,124900,98175,99734,127078,132476,171284,55377,131563,160551,62441,264370,67736,154788,117816,117423,124939,132207,80039,102580,184211,140676,152709,175903,183036,151225,117873,135880,91239,197272,176278,152451,166163,162122,84383,161154,183635,328236,150573,121891,161507,126894,263503,220873,222105,176713,186307,209453.4473,146530.3003,159476.6415,240476.3387,153498.873,186819.425,197860.5483,99037.25469,46275.77832,58996.81026,122276.3487,35434.32742,98087.53142,40692.31456
19,0.913,85.02871,Unknown,[M-H]-,null,0.11,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,19,0,0,null,null,null,null,null,null,null,11312.61,5102023_IPA_1_012,85.02838:37413 85.05869:799 85.07205:491 85.07902:347 85.08667:215 86.03281:1576 87.00818:6895,87.00719:519 89.02307:1484,364701,251243,231836,149472,216983,266043,243032,266838,197189,227565,259618,228387,528223,325464,491917,203898,191639,78651,482888,437517,411619,273704,221644,233665,88056,125112,95887,101164,132029,136150,177236,138950,136806,166627,158626,272532,176489,159374,118284,123603,128054,139005,81140,106610,188165,144027,155776,178632,186200,152269,116423,135921,236786,201262,183661,158696,169296,167899,209245,395063,187502,336156,60670,123418,161729,328331,269809,227200,225083,178268,186289,213766.4242,147229.6344,193425.7102,319191.0938,132216.1442,276013.2457,200735.7994,102449.2059,47930.35187,44748.43656,134646.0591,47290.9391,149110.8859,41151.33124
20,0.811,85.02893,Unknown,[M-H]-,null,0.52,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,20,0,0,null,null,null,null,null,null,null,7535.02,5102023_IPA_QC_011,85.02843:34335 85.06025:798 85.07370:366 85.07929:217 85.08832:315 86.03149:1500 87.00763:10315,89.02419:5477,384665,271537,244671,154182,229695,278148,255452,282386,211256,240030,250532,242221,509633,360738,517126,215557,221052,176485,470238,405930,424795,294747,231286,255726,90082,130339,99818,107440,140962,142455,181144,131147,147727,172611,151793,282900,159174,165135,123609,139111,136855,150077,82689,111556,195207,154139,163898,183266,192595,159544,120145,141615,229074,204646,190081,163499,176270,178145,202361,385668,197050,351897,141941,127642,169029,315764,273824,235918,232073,186206,190217,224429.1314,154161.0621,198663.8356,325480.0893,161253.5327,274532.2884,211499.6362,110285.4596,51166.92164,46390.09202,135959.3979,36780.7191,141505.5608,45572.88123
21,0.608,87.00844,Unknown,[M-H]-,null,0.93,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,21,0,0,null,null,null,null,null,null,null,25510.94,5102023_IPA_2_013,87.00826:151877 87.02190:5435 87.04616:5708 87.05713:2976 87.06625:3098 87.07755:2799 87.08893:1530 87.09866:1190 87.11035:1309 87.12085:705 87.13017:1431 87.14416:1139 87.16034:1657 87.17302:1230 87.18389:747 87.19436:1054 87.20557:1270 87.21709:1112 87.22630:968 87.23906:822 87.24983:999 87.25964:1047 87.27107:1048 87.28163:769 87.29273:763 87.30398:573 87.31305:879 87.32430:848 87.34588:715 87.35768:540 87.36947:321 87.37730:245 87.39017:369 87.40199:393 87.41200:526 87.42344:512 87.43509:535 87.44568:400 87.46778:594 87.50092:523 87.52336:409 87.60073:303 87.62370:183 87.63340:436 87.64562:368 87.70765:313 87.72127:251 87.73465:169 87.74509:265 87.80904:259 87.82269:244 87.89784:253 88.01131:9359 88.04202:680 88.05441:430 88.06718:376 88.18755:188 89.01210:2329 89.02325:9113,79.95641:540 87.00777:17627,1056538,1078875,975501,820538,1080723,785374,551981,375073,598009,490756,463505,558170,1265987,1781477,1568158,1200705,888572,954529,1030230,1276518,1044453,720051,1353935,1015560,506405,575242,457981,500321,403706,226086,164203,289092,226540,167543,303478,707040,805693,743548,587538,482753,563562,496628,538163,505977,365850,793841,642242,855222,786206,722244,790592,840590,655085,439606,289068,492700,407710,293052,443311,1066224,1472119,1244593,964076,737757,782041,798582,1002570,953180,574716,1196213,944268,856649.4295,751525.9677,410669.0126,1183871.095,795726.0161,849588.85,845186.0776,232902.8348,210345.7379,164141.4792,383477.277,230469.6052,280455.8826,312907.5664
22,1.724,89.02355,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,22,0,0,null,null,null,null,null,null,null,9175.25,592023_GER_4_035,88.98817:385 89.02355:23912 89.05445:433 90.02640:873 91.00302:15680,89.02414:953,278947,253034,136008,102518,174435,143657,111809,158606,462662,135903,145848,157032,136010,190702,158772,2811387,578199,961133,191631,155130,169149,121801,102393,127938,92653,61914,43696,59284,57804,46550,63101,203267,63067,48655,78167,44294,81995,57551,711736,271571,968226,52093,32469,22464,56010,48934,58914,248321,203720,107378,84702,134609,114109,90331,145572,486068,113477,91977,134433,112426,141323,125539,1190102,525617,851182,125833,118239,113464,94835,94650,91802,215335.1165,100504.8536,145337.9715,116512.416,985461.441,108941.431,88586.24212,73725.0539,42728.63577,117147.5531,47784.83489,737960.7348,60772.4753,28378.19383
